序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,572000,15.06%
2,6223,旺矽,98000,5.61%
3,2454,聯發科,114000,4.30%
4,2383,台光電子,76000,3.73%
5,2059,川湖,37000,3.16%
6,2345,智邦,126000,2.88%
7,2308,台達電子,154000,2.75%
8,2344,華邦電子,1749000,2.72%
9,6274,台燿,216000,2.64%
10,5274,信驊科技,16600,2.56%
11,3037,欣興,301000,2.48%
12,2303,聯電,1900000,2.33%
13,3017,奇鋐,93000,2.33%
14,6515,穎崴,36000,2.33%
15,3711,日月光投控,388000,2.32%
16,6669,緯穎,37000,2.27%
17,2883,凱基金控,6476000,2.26%
18,2327,國巨*,370000,2.24%
19,2408,南亞科,503000,2.13%
20,8046,南電,185000,1.95%
21,3189,景碩科技,277000,1.91%
22,7769,鴻勁,30000,1.86%
23,2360,致茂,83000,1.82%
24,2890,永豐金控,3651220,1.69%
25,4958,臻鼎-KY,320000,1.55%
26,3653,健策,39000,1.54%
27,2881,富邦金控,918000,1.35%
28,3443,創意電子,33000,1.30%
29,2885,元大金,1729000,1.29%
30,2368,金像電子,136000,1.19%
31,3264,欣銓,595000,1.19%
32,6446,藥華醫藥,79228,1.02%
33,6488,環球晶圓,96000,0.99%
34,8358,金居開發,230000,0.83%
35,2891,中信金,1112000,0.82%
36,1303,南亞,456000,0.77%
37,3702,大聯大,570000,0.72%
38,2637,慧洋-KY,739000,0.71%
39,4904,遠傳,560000,0.71%
40,2618,長榮航,1369000,0.68%
41,2347,聯強,656000,0.67%
42,2395,研華,101000,0.66%
43,2882,國泰金,543000,0.61%
44,2412,中華電,360000,0.60%
45,6196,帆宣,109000,0.58%
46,2027,大成鋼,1070000,0.55%
47,1301,台塑,688000,0.46%
48,3481,群創光電,817000,0.41%
49,8021,尖點,99000,0.37%
50,6257,矽格,164000,0.36%
