序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,475000,11.17%
2,2454,聯發科,164000,5.91%
3,2383,台光電子,110000,5.38%
4,6223,旺矽,83000,5.06%
5,2345,智邦,211000,4.75%
6,2327,國巨*,592000,4.55%
7,3037,欣興,502000,4.52%
8,3017,奇鋐,184000,3.84%
9,2303,聯電,2223000,3.55%
10,6669,緯穎,66000,3.24%
11,3711,日月光投控,490000,3.22%
12,2308,台達電子,165000,3.00%
13,2059,川湖,36000,2.95%
14,5536,聖暉*,235000,2.83%
15,6274,台燿,205000,2.83%
16,2344,華邦電子,1554000,2.70%
17,8046,南電,194000,2.64%
18,6515,穎崴,34000,2.38%
19,3665,貿聯-KY,128000,2.35%
20,3189,景碩科技,282000,2.29%
21,5274,信驊科技,14600,1.95%
22,2368,金像電子,187000,1.85%
23,2408,南亞科,313000,1.45%
24,2885,元大金,1447000,0.93%
25,2883,凱基金控,2906000,0.84%
26,6446,藥華醫藥,63228,0.80%
27,2890,永豐金控,1822000,0.70%
28,5904,寶雅,98000,0.64%
29,6196,帆宣,98000,0.55%
30,2891,中信金,864000,0.53%
31,2881,富邦金控,418000,0.52%
32,2347,聯強,610000,0.51%
33,4958,臻鼎-KY,80000,0.48%
34,8021,尖點,86000,0.44%
35,3702,大聯大,367000,0.41%
36,5289,宜鼎國際,29000,0.41%
37,2618,長榮航,990000,0.40%
38,3042,晶技,211000,0.39%
39,4904,遠傳,395000,0.37%
40,2472,立隆,111000,0.36%
41,6213,聯茂,112000,0.36%
42,6257,矽格,156000,0.36%
43,8150,南茂科技,327000,0.36%
44,3481,群創光電,596000,0.34%
45,3264,欣銓,144000,0.31%
46,1303,南亞,136000,0.30%
47,3023,信邦,93000,0.29%
48,1590,亞德客-KY,21000,0.28%
49,2395,研華,48000,0.25%
50,7769,鴻勁,3000,0.19%
