序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,465000,9.74%
2,2454,聯發科,193000,7.35%
3,2383,台光電子,137000,5.92%
4,6223,旺矽,108000,5.51%
5,3017,奇鋐,213000,4.90%
6,2308,台達電子,240000,4.89%
7,6669,緯穎,95000,4.76%
8,3037,欣興,545000,4.50%
9,2327,國巨*,598000,4.07%
10,6274,台燿,281000,4.00%
11,6515,穎崴,49000,3.65%
12,2345,智邦,164000,3.61%
13,5274,信驊科技,23000,3.56%
14,2303,聯電,2914000,3.39%
15,2344,華邦電子,2295000,3.29%
16,2368,金像電子,243000,2.83%
17,2360,致茂,111000,2.52%
18,3711,日月光投控,428000,2.19%
19,3443,創意電子,55000,2.15%
20,4958,臻鼎-KY,482000,2.15%
21,3264,欣銓,643000,1.30%
22,8046,南電,117000,0.88%
23,6147,頎邦,350000,0.84%
24,3702,大聯大,698000,0.71%
25,3189,景碩科技,102000,0.64%
26,8021,尖點,144000,0.58%
27,2881,富邦金控,546000,0.57%
28,5289,宜鼎國際,36000,0.56%
29,6239,力成,170000,0.51%
30,3036,文曄,197000,0.49%
31,3491,昇達科技,26000,0.45%
32,2883,凱基金控,1818000,0.44%
33,8358,金居開發,75000,0.40%
34,3042,晶技,201000,0.38%
35,3044,健鼎科技,80000,0.35%
36,2606,裕民,532000,0.33%
37,2481,強茂,220000,0.32%
38,6446,藥華醫藥,38000,0.32%
39,6531,愛普科技,32000,0.29%
40,6285,啟碁科技,110000,0.28%
41,8028,昇陽半導體,89000,0.27%
42,7769,鴻勁,4000,0.26%
43,1560,中砂,41000,0.25%
44,2313,華通,111000,0.25%
45,8210,勤誠興業,20000,0.24%
46,2049,上銀科技,70000,0.21%
47,4749,新應材,23000,0.21%
48,6415,矽力*-KY,41000,0.21%
49,2059,川湖,4000,0.20%
50,4991,環宇-KY,34000,0.20%
51,3533,嘉澤端子,9000,0.19%
