序號,股票代號,股票名稱,股數,權重(%)
1,2412,中華電,9489000,9.44%
2,3036,文曄,6178000,8.86%
3,2330,台積電,642000,8.79%
4,2303,聯電,18023000,7.94%
5,2454,聯發科,517000,6.53%
6,3044,健鼎科技,2067000,5.31%
7,1590,亞德客-KY,318000,2.58%
8,2344,華邦電子,3238000,2.47%
9,2327,國巨*,1133000,2.15%
10,3037,欣興,532000,1.63%
11,3105,穩懋,629000,1.35%
12,2360,致茂,135000,1.33%
13,2383,台光電子,80000,1.29%
14,2313,華通,813000,1.26%
15,8996,高力,217000,1.19%
16,3167,大量,603000,1.18%
17,3017,奇鋐,91000,1.17%
18,6770,力積電,2585000,1.16%
19,3533,嘉澤端子,103000,1.13%
20,2308,台達電子,122000,1.12%
21,6515,穎崴,33000,1.10%
22,2368,金像電子,208000,1.08%
23,1303,南亞,1834000,1.07%
24,2883,凱基金控,7228000,1.06%
25,6285,啟碁科技,900000,1.05%
26,6442,光聖,68000,1.05%
27,2345,智邦,109000,1.04%
28,3481,群創光電,5691000,1.03%
29,2337,旺宏,1418000,1.02%
30,5274,信驊科技,16000,1.02%
31,1560,中砂,296000,1.01%
32,3324,雙鴻科技,142000,1.01%
33,6446,藥華醫藥,203000,1.00%
34,3491,昇達科技,88000,0.99%
35,3715,定穎投控,934000,0.99%
36,6805,富世達,82000,0.99%
37,2882,國泰金,1823000,0.98%
38,6290,良維,615000,0.97%
39,6274,台燿,267000,0.96%
40,3653,健策,45000,0.95%
41,1519,華城,140000,0.93%
42,1815,富喬工業,1226000,0.93%
43,8299,群聯電子,74000,0.93%
44,8021,尖點,545000,0.92%
45,8358,金居開發,479000,0.92%
46,3264,欣銓,897000,0.91%
47,2449,京元電子,441000,0.90%
48,6223,旺矽,46000,0.90%
49,3357,臺慶科,724000,0.87%
50,4722,國精化學,684000,0.87%
51,2408,南亞科,1000,0.00%
