序號,股票代號,股票名稱,股數,權重(%)
1,3036,文曄,4992000,9.44%
2,2412,中華電,8410000,9.16%
3,2330,台積電,566000,8.33%
4,2303,聯電,15993000,7.34%
5,2454,聯發科,458000,6.03%
6,3044,健鼎科技,1845000,5.11%
7,2344,華邦電子,2896000,2.34%
8,1590,亞德客-KY,280000,2.17%
9,2327,國巨*,994000,2.02%
10,3037,欣興,524000,1.96%
11,6515,穎崴,26000,1.73%
12,2383,台光電子,67000,1.46%
13,3167,大量,565000,1.46%
14,2360,致茂,120000,1.44%
15,2337,旺宏,1290000,1.43%
16,3533,嘉澤端子,87000,1.38%
17,2368,金像電子,180000,1.30%
18,3105,穩懋,511000,1.30%
19,8996,高力,200000,1.25%
20,7751,竑騰,100000,1.23%
21,2313,華通,719000,1.22%
22,3017,奇鋐,77000,1.22%
23,2308,台達電子,104000,1.20%
24,3653,健策,36000,1.16%
25,6770,力積電,2275000,1.16%
26,2345,智邦,91000,1.14%
27,6223,旺矽,38000,1.13%
28,3715,定穎投控,815000,1.10%
29,6285,啟碁科技,789000,1.07%
30,6442,光聖,67000,1.05%
31,6805,富世達,69000,1.03%
32,2883,凱基金控,6320000,1.02%
33,6274,台燿,231000,1.02%
34,3324,雙鴻科技,122000,1.00%
35,3481,群創光電,4982000,0.99%
36,1815,富喬工業,1226000,0.98%
37,1303,南亞,1607000,0.94%
38,1560,中砂,255000,0.92%
39,2882,國泰金,1591000,0.92%
40,3264,欣銓,779000,0.92%
41,3491,昇達科技,88000,0.92%
42,6290,良維,532000,0.90%
43,8021,尖點,473000,0.89%
44,6446,藥華醫藥,174000,0.88%
45,2449,京元電子,382000,0.86%
46,8358,金居開發,479000,0.86%
47,1519,華城,118000,0.84%
48,8299,群聯電子,61000,0.84%
49,4722,國精化學,600000,0.83%
50,5274,信驊科技,8000,0.71%
