序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,475000,11.22%
2,2454,聯發科,164000,6.06%
3,2383,台光電子,110000,5.45%
4,6223,旺矽,83000,5.33%
5,2345,智邦,211000,4.90%
6,2327,國巨*,592000,4.67%
7,3037,欣興,502000,4.38%
8,3017,奇鋐,184000,3.96%
9,2303,聯電,2223000,3.30%
10,3711,日月光投控,490000,3.17%
11,6669,緯穎,66000,3.16%
12,6274,台燿,205000,3.07%
13,2308,台達電子,165000,3.01%
14,2059,川湖,36000,2.81%
15,5536,聖暉*,235000,2.68%
16,2344,華邦電子,1554000,2.51%
17,6515,穎崴,34000,2.42%
18,8046,南電,194000,2.38%
19,3665,貿聯-KY,128000,2.31%
20,3189,景碩科技,282000,2.23%
21,5274,信驊科技,14600,1.91%
22,2368,金像電子,187000,1.89%
23,2408,南亞科,313000,1.28%
24,2885,元大金,1447000,0.95%
25,2883,凱基金控,2906000,0.84%
26,6446,藥華醫藥,63228,0.76%
27,2890,永豐金控,1822000,0.71%
28,5904,寶雅,98000,0.63%
29,2891,中信金,864000,0.56%
30,6196,帆宣,98000,0.52%
31,2881,富邦金控,418000,0.51%
32,4958,臻鼎-KY,80000,0.50%
33,2347,聯強,610000,0.49%
34,5289,宜鼎國際,29000,0.42%
35,8021,尖點,86000,0.42%
36,3702,大聯大,367000,0.41%
37,2618,長榮航,990000,0.39%
38,3042,晶技,211000,0.39%
39,6213,聯茂,112000,0.39%
40,2472,立隆,111000,0.37%
41,4904,遠傳,395000,0.37%
42,8150,南茂科技,327000,0.36%
43,3481,群創光電,596000,0.35%
44,6257,矽格,156000,0.35%
45,3264,欣銓,144000,0.31%
46,3023,信邦,93000,0.29%
47,1590,亞德客-KY,21000,0.27%
48,1303,南亞,136000,0.26%
49,2395,研華,48000,0.25%
50,7769,鴻勁,3000,0.19%
